Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions_x,Tkl+Int,Clearances,Errors,Source_League,Interceptions_y
cm CMR,DF,Gent,21,2001,3,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,150000.0,Brian Agbor,3225,B. Agbor,21,60,69,180,65,Right,62,DF,9,525000,2000,222,39,38,48,62,35,230,55,38,29,55,53,340,72,78,71,54,65,297,48,72,67,73,37,250,79,57,38,39,37,172,49,62,61,55,7,15,12,10,11,2,Medium,High,1,,1.0,,,,,,,,,,,2.0,,,,BelgianProLeague,57.0
fr FRA,"DF,MF",Eupen,20,2002,10,5,362,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,400000.0,Teddy Alloh,2756,T. Alloh,20,63,77,176,64,Left,63,DF,14,1100000,2000,230,61,37,45,55,32,278,67,60,36,50,65,357,78,72,75,57,75,247,47,61,58,48,33,251,55,55,57,43,41,182,57,62,63,58,11,14,14,11,8,2,High,Medium,1,,3.0,,,,,,,,,,,6.0,,,,BelgianProLeague,55.0
cy CYP,DF,Charleroi,20,2002,23,20,"1,803",20.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2000000.0,Stelios Andreou,1981,S. Andreou,19,67,77,188,78,Right,69,DF,10,2100000,2000,231,47,23,67,68,26,242,52,31,36,65,58,329,66,78,62,64,59,288,48,68,71,73,28,242,71,66,28,44,33,198,64,69,65,57,12,10,12,14,9,3,Low,High,1,,24.0,,,,,,,,,,,40.0,,,,BelgianProLeague,66.0
mx MEX,DF,Genk,23,1998,32,32,"2,804",31.2,2,2,4,2,0,0,8,1,0.06,0.06,0.13,0.06,0.13,,,,,,,,,,,,,7000000.0,Gerardo Arteaga,1499,G. Arteaga,23,71,78,175,68,Left,71,DF,7,3600000,9000,294,72,53,61,71,37,314,70,71,38,67,68,375,79,77,80,63,76,309,58,69,76,58,48,309,70,65,70,58,46,194,57,69,68,36,9,5,10,5,7,3,High,High,1,,36.0,,,,,,,,,,,49.0,,,,BelgianProLeague,65.0
de GER,"DF,MF",Kortrijk,20,2002,10,6,539,6.0,0,1,1,0,0,0,0,0,0.0,0.17,0.17,0.0,0.17,,,,,,,,,,,,,350000.0,Christalino Atemona,3362,C. Atemona,20,59,73,184,72,Right,61,DF,14,500000,2000,193,35,28,55,51,24,208,51,44,21,43,49,322,72,69,66,52,63,284,50,77,55,69,33,229,66,57,33,42,31,173,56,60,57,59,13,9,13,10,14,3,Medium,Medium,1,,7.0,,,,,,,,,,,8.0,,,,BelgianProLeague,57.0
ar ARG,DF,Antwerp,20,2001,16,10,983,10.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3500000.0,Gastón Ávila,1496,G. Ávila,20,71,82,182,75,Left,73,DF,11,3900000,9000,259,60,32,69,70,28,323,61,62,67,68,65,354,71,82,67,65,69,341,68,77,71,74,51,295,75,70,41,64,45,211,70,70,71,50,14,11,10,9,6,3,Medium,Medium,1,,23.0,,,,,,,,,,,29.0,,,,BelgianProLeague,70.0
be BEL,DF,Antwerp,23,1999,31,22,"1,986",22.1,0,3,3,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,,,,,,,,,,,,,3000000.0,Jelle Bataille,1495,J. Bataille,23,71,76,180,74,Right,72,DF,5,2600000,11000,300,70,49,58,67,56,310,72,55,48,66,69,384,79,86,75,70,74,326,58,71,82,63,52,298,53,65,61,63,56,188,59,67,62,53,14,12,6,7,14,4,High,Low,1,,56.0,,,,,,,,,,,35.0,,,,BelgianProLeague,65.0
fr FRA,"MF,DF",Eupen,19,2002,15,9,880,9.8,0,1,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,,,,,,,,,,,,,500000.0,Nathan Bitumazala,3228,N. Bitumazala,19,60,74,178,68,Right,62,DF,14,550000,1000,247,51,39,54,65,38,280,62,52,41,60,65,316,65,63,62,56,70,231,53,54,34,54,36,265,68,62,41,49,45,183,59,64,60,57,7,14,14,11,11,3,Medium,Medium,1,,7.0,,,,,,,,,,,3.0,,,,BelgianProLeague,62.0
be BEL,DF,Charleroi,22,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,150000.0,Adrien Bongiovanni,2552,A. Bongiovanni,22,64,70,170,60,Right,66,DF,6,950000,3000,303,61,69,48,66,59,332,69,68,65,63,67,346,70,67,77,52,80,295,64,65,58,48,60,287,61,35,66,56,69,103,31,37,35,40,9,6,6,14,5,4,Medium,Low,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,35.0
ma MAR,DF,Charleroi,18,2004,10,8,735,8.2,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,800000.0,Mehdi Boukamir,3084,M. Boukamir,18,61,75,188,78,Right,63,DF,14,725000,700,178,24,19,58,57,20,190,45,23,17,48,57,303,62,68,57,53,63,251,35,70,54,67,25,201,56,63,16,22,44,187,60,64,63,62,14,6,14,14,14,4,Medium,Medium,1,,8.0,,,,,,,,,,,14.0,,,,BelgianProLeague,63.0
