Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions_x,Tkl+Int,Clearances,Errors,Source_League,Interceptions_y
ie IRL,"DF,MF",RWD Molenbeek,19,2003,9,8,575,6.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,800000.0,Tayo Adaramola,2787,T. Adaramola,19,63,77,177,69,Left,64,DF,14,1100000,4000,257,65,48,48,53,43,255,68,41,39,49,58,363,85,80,73,58,67,278,55,63,59,54,47,276,67,56,58,46,49,180,55,63,62,53,15,13,12,7,6,3,High,Medium,1,,14.0,,,,,,,,,,,5.0,,,,BelgianProLeague,56.0
cm CMR,DF,Gent,22,2001,3,2,208,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,300000.0,Brian Agbor,3111,B. Agbor,22,61,68,180,65,Right,63,DF,7,625000,3000,224,39,38,48,64,35,236,55,38,29,57,57,337,70,78,70,54,65,290,48,65,67,73,37,250,79,57,38,39,37,179,54,63,62,55,7,15,12,10,11,2,High,Medium,1,,1.0,,,,,,,,,,,5.0,,,,BelgianProLeague,57.0
cy CYP,DF,Charleroi,21,2002,27,27,"2,409",26.8,1,1,2,1,0,0,5,0,0.04,0.04,0.07,0.04,0.07,,,,,,,,,,,,,2500000.0,Stelios Andreou,1689,S. Andreou,20,69,78,188,78,Right,71,DF,9,2900000,5000,231,47,23,67,68,26,242,52,31,36,65,58,326,63,78,62,64,59,295,48,74,71,74,28,244,71,68,28,44,33,204,66,71,67,57,12,10,12,14,9,3,Low,High,1,,37.0,,,,,,,,,,,39.0,,,,BelgianProLeague,68.0
no NOR,"DF,MF",Anderlecht,19,2003,14,6,645,7.2,0,1,1,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,,,,,,,,,,,,,2000000.0,Kristian Arnstad,2186,K. Arnstad,19,66,77,171,65,Right,68,DF,11,1800000,4000,262,58,53,32,68,51,326,67,62,63,63,71,366,73,63,80,64,86,301,60,53,67,58,63,308,76,66,53,67,46,188,61,65,62,55,11,12,13,8,11,3,Medium,Medium,1,,5.0,,,,,,,,,,,5.0,,,,BelgianProLeague,66.0
de GER,DF,Kortrijk,21,2002,2,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,100000.0,Christalino Atemona,3403,C. Atemona,21,59,68,187,72,Right,61,DF,9,475000,2000,193,35,28,55,51,24,208,51,44,21,43,49,319,70,68,66,52,63,274,50,68,53,70,33,229,66,57,33,42,31,173,56,60,57,59,13,9,13,10,14,3,Medium,Medium,1,,1.0,,,,,,,,,,,2.0,,,,BelgianProLeague,57.0
ar ARG,DF,Antwerp,21,2001,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5,,,,,,,,,,,,,5000000.0,Gastón Ávila,1586,G. Ávila,21,70,77,182,75,Left,72,DF,7,3000000,6000,252,57,32,69,66,28,318,61,62,67,64,64,341,68,72,67,65,69,350,78,76,71,74,51,292,75,69,41,62,45,208,69,69,70,50,14,11,10,9,6,3,Medium,Medium,1,,3.0,,,,,,,,,,,2.0,,,,BelgianProLeague,69.0
tr TUR,DF,Westerlo,20,2003,23,22,"1,974",21.9,1,2,3,1,0,0,8,0,0.05,0.09,0.14,0.05,0.14,,,,,,,,,,,,,4000000.0,Emin Bayram,2000,E. Bayram,20,67,78,192,78,Right,69,DF,11,2100000,8000,219,35,28,60,67,29,260,60,37,28,67,68,309,62,63,62,58,64,264,41,68,69,66,20,294,76,66,52,56,44,209,70,69,70,50,13,7,11,14,5,2,Low,Medium,1,,39.0,,,,,,,,,,,59.0,,,,BelgianProLeague,66.0
dz ALG,DF,Mechelen,21,2002,7,3,260,2.9,1,1,2,1,0,0,1,0,0.35,0.35,0.69,0.35,0.69,,,,,,,,,,,,,700000.0,Rafik Belghali,2589,R. Belghali,21,64,73,186,73,Right,66,DF,9,1300000,2000,291,62,60,51,63,55,297,65,58,56,56,62,353,80,83,71,58,61,302,63,66,57,58,58,293,61,57,60,60,55,181,58,63,60,50,11,8,13,12,6,2,High,Medium,1,,7.0,,,,,,,,,,,5.0,,,,BelgianProLeague,57.0
au AUS,"DF,MF",Westerlo,20,2002,21,19,"1,713",19.0,2,1,3,2,0,0,4,0,0.11,0.05,0.16,0.11,0.16,,,,,,,,,,,,,2000000.0,Jordan Bos,1832,J. Bos,20,68,77,180,70,Left,69,DF,9,2500000,4000,281,58,55,58,62,48,306,69,65,50,57,65,399,83,89,78,66,83,370,66,82,83,77,62,301,68,63,59,63,48,183,60,62,61,29,5,5,6,5,8,3,High,Medium,1,,26.0,,,,,,,,,,,24.0,,,,BelgianProLeague,63.0
be BEL,DF,Anderlecht,22,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,300000.0,Mohamed Bouchouari,2577,M. Bouchouari,22,64,71,170,61,Right,65,DF,7,1100000,5000,223,51,49,27,57,39,293,69,60,48,52,64,392,81,77,86,61,87,289,61,55,67,55,51,274,67,63,50,47,47,187,58,69,60,37,5,6,12,8,6,3,High,Low,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,63.0
ma MAR,DF,Charleroi,19,2004,10,5,466,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,600000.0,Mehdi Boukamir,2946,M. Boukamir,19,62,76,188,78,Right,64,DF,14,875000,1000,178,24,19,58,57,20,194,45,23,17,52,57,297,58,66,57,53,63,243,35,65,50,68,25,201,56,63,16,22,44,190,63,64,63,62,14,6,14,14,14,4,Medium,Medium,1,,6.0,,,,,,,,,,,8.0,,,,BelgianProLeague,63.0
eng ENG,"MF,DF",Gent,21,2002,21,20,"1,650",18.3,0,3,3,0,0,0,3,1,0.0,0.16,0.16,0.0,0.16,,,,,,,,,,,,,5000000.0,Archie Brown,1574,A. Brown,21,70,79,190,86,Left,71,DF,9,3600000,9000,273,69,44,52,68,40,308,74,59,43,63,69,345,75,89,65,67,49,336,58,75,78,79,46,286,71,59,62,59,35,189,60,63,66,52,14,8,14,6,10,3,Medium,High,1,,16.0,,,,,,,,,,,28.0,,,,BelgianProLeague,59.0
be BEL,DF,Antwerp,18,2005,9,0,148,1.6,1,1,2,1,0,0,0,0,0.61,0.61,1.22,0.61,1.22,,,,,,,,,,,,,1000000.0,Kobe Corbanie,2578,K. Corbanie,18,64,80,179,71,Right,65,DF,16,1400000,2000,264,67,48,48,66,35,293,66,58,42,58,69,328,73,75,70,45,65,264,64,49,54,42,55,277,59,60,39,53,66,185,50,67,68,49,8,10,6,13,12,2,Medium,Medium,1,,5.0,,,,,,,,,,,0.0,,,,BelgianProLeague,60.0
fr FRA,DF,Antwerp,19,2003,17,16,"1,363",15.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,6000000.0,Soumaïla Coulibaly,1480,S. Coulibaly,19,71,82,191,73,Left,73,DF,11,3800000,12000,237,34,30,70,74,29,255,62,28,25,73,67,369,83,89,78,65,54,323,56,86,67,79,35,244,78,69,29,38,30,201,65,69,67,53,5,14,13,10,11,3,Medium,High,1,,7.0,,,,,,,,,,,26.0,,,,BelgianProLeague,69.0
no NOR,DF,Cercle Brugge,23,2000,30,28,"2,526",28.1,0,1,1,0,0,0,2,0,0.0,0.04,0.04,0.0,0.04,,,,,,,,,,,,,4500000.0,Jesper Daland,1488,J. Daland,23,71,78,189,87,Right,73,DF,7,3500000,8000,243,38,39,73,65,28,239,49,37,28,61,64,298,52,68,53,68,57,311,55,78,67,80,31,252,66,70,37,43,36,214,72,73,69,52,14,14,6,9,9,2,Medium,Medium,1,,38.0,,,,,,,,,,,45.0,,,,BelgianProLeague,70.0
be BEL,DF,Club Brugge,22,2000,27,24,"2,161",24.0,2,7,9,2,0,0,4,1,0.08,0.29,0.37,0.08,0.37,,,,,,,,,,,,,9000000.0,Maxim De Cuyper,1337,M. De Cuyper,22,74,80,183,72,Left,77,DF,6,6500000,16000,352,80,68,62,76,66,368,75,72,72,75,74,378,77,76,78,71,76,370,77,73,85,62,73,356,69,65,70,74,78,202,65,69,68,41,11,8,7,7,8,4,High,High,1,,26.0,,,,,,,,,,,32.0,,,,BelgianProLeague,65.0
be BEL,"MF,DF",Kortrijk,21,2002,27,21,"1,922",21.4,2,1,3,2,0,0,2,0,0.09,0.05,0.14,0.09,0.14,,,,,,,,,,,,,600000.0,Dion De Neve,2202,D. De Neve,22,66,73,182,68,Left,67,DF,7,1700000,4000,266,64,61,37,56,48,272,67,43,36,58,68,379,79,82,74,63,81,255,71,43,67,29,45,255,34,49,58,57,57,148,53,52,43,42,15,6,7,7,7,3,Medium,Medium,1,,44.0,,,,,,,,,,,21.0,,,,BelgianProLeague,49.0
be BEL,DF,Anderlecht,19,2003,28,28,"2,474",27.5,0,0,0,0,0,0,7,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,18000000.0,Zeno Debast,1372,Z. Debast,19,73,84,188,73,Right,75,DF,11,6000000,10000,297,64,51,71,74,37,339,69,60,61,76,73,318,58,73,60,74,53,337,61,75,74,71,56,308,75,71,53,67,42,222,72,77,73,38,6,6,15,6,5,4,Medium,Medium,1,,29.0,,,,,,,,,,,24.0,,,,BelgianProLeague,71.0
be BEL,DF,Standard Liège,20,2003,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,250000.0,Noah Dodeigne,3106,N. Dodeigne,22,61,68,186,73,Left,62,DF,7,625000,2000,217,50,20,66,58,23,198,32,47,26,53,40,335,73,69,63,58,72,253,33,81,58,60,21,241,50,56,49,46,40,186,60,64,62,46,8,13,6,11,8,3,Medium,Medium,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,56.0
be BEL,DF,RWD Molenbeek,19,2003,5,1,205,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,125000.0,Djovkar Doudaev,3578,D. Doudaev,19,57,68,185,75,Right,59,DF,11,325000,1000,179,36,16,53,52,22,185,34,25,30,48,48,301,62,67,64,51,57,235,35,61,54,62,23,197,62,55,20,29,31,174,52,62,60,56,10,12,8,14,12,3,Medium,Medium,1,,2.0,,,,,,,,,,,4.0,,,,BelgianProLeague,55.0
jp JPN,DF,Kortrijk,22,2000,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1000000.0,Haruya Fujii,2201,H. Fujii,22,66,75,187,82,Right,68,DF,9,1800000,4000,236,45,31,62,65,33,251,55,46,32,54,64,292,61,68,55,63,45,319,60,75,56,80,48,252,68,64,48,42,30,192,64,66,62,45,8,5,9,9,14,3,Medium,Medium,1,,8.0,,,,,,,,,,,6.0,,,,BelgianProLeague,64.0
ci CIV,DF,Westerlo,18,2005,5,4,350,3.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,350000.0,Bakary Haidara,3399,B. Haidara,18,59,74,190,80,Right,61,DF,15,500000,550,186,29,25,49,55,28,187,29,31,23,53,51,284,62,65,43,46,68,240,40,58,58,63,21,213,56,55,29,32,41,192,58,66,68,53,14,7,10,8,14,2,Medium,Medium,1,,4.0,,,,,,,,,,,8.0,,,,BelgianProLeague,55.0
be BEL,DF,Standard Liège,21,2002,2,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,250000.0,Ibe Hautekiet,2777,I. Hautekiet,21,63,72,188,83,Right,65,DF,9,1000000,2000,214,36,24,65,58,31,189,31,39,24,59,36,283,62,68,46,49,58,290,62,74,53,75,26,221,60,61,28,36,36,192,63,66,63,67,14,13,13,12,15,3,Low,High,1,,1.0,,,,,,,,,,,2.0,,,,BelgianProLeague,61.0
be BEL,"DF,MF",Anderlecht,20,2002,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1500000.0,Marco Kana,1835,M. Kana,20,68,77,183,62,Right,69,DF,9,2500000,6000,255,64,23,63,72,33,289,64,41,46,67,71,345,68,68,72,63,74,288,38,73,63,71,43,273,68,68,45,61,31,198,64,68,66,46,9,6,9,14,8,3,Medium,Medium,1,,0.0,,,,,,,,,,,1.0,,,,BelgianProLeague,68.0
be BEL,DF,Gent,19,2004,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,800000.0,Bram Lagae,2847,B. Lagae,19,63,75,183,76,Left,65,DF,12,1100000,2000,218,41,31,60,57,29,212,48,28,30,48,58,309,66,68,63,51,61,280,45,69,64,67,35,217,62,62,24,37,32,197,62,68,67,54,12,13,9,13,7,3,Medium,Medium,1,,1.0,,,,,,,,,,,4.0,,,,BelgianProLeague,62.0
be BEL,DF,Union SG,20,2003,4,4,336,3.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1500000.0,Fedde Leysen,2785,F. Leysen,19,63,74,191,77,Left,65,DF,11,975000,2000,239,37,40,65,63,34,225,42,34,37,58,54,273,60,52,53,55,53,269,31,69,60,69,40,258,73,59,36,39,51,188,61,65,62,49,6,15,8,8,12,3,Medium,Medium,1,,2.0,,,,,,,,,,,6.0,,,,BelgianProLeague,59.0
be BEL,DF,Cercle Brugge,19,2004,11,1,172,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,350000.0,Jonas Lietaert,3255,J. Lietaert,18,60,74,190,80,Right,62,DF,14,525000,650,195,37,25,53,58,22,198,32,32,24,52,58,286,58,57,53,61,57,210,27,56,50,55,22,232,54,61,42,43,32,192,64,65,63,57,14,12,13,11,7,2,Medium,Medium,1,,8.0,,,,,,,,,,,3.0,,,,BelgianProLeague,61.0
be BEL,"MF,DF",Eupen,23,1999,24,24,"1,958",21.8,2,4,6,1,1,1,3,0,0.09,0.18,0.28,0.05,0.23,,,,,,,,,,,,,1200000.0,Gary Magnée,2007,G. Magnée,23,67,73,175,67,Right,68,DF,6,1600000,4000,271,63,56,57,68,27,302,65,46,57,65,69,350,77,60,68,65,80,307,56,69,70,58,54,309,72,60,60,68,49,183,59,64,60,44,9,9,14,7,5,3,Medium,Medium,1,,31.0,,,,,,,,,,,26.0,,,,BelgianProLeague,60.0
cg CGO,DF,RWD Molenbeek,19,2004,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,600000.0,Christ Makosso,2788,C. Makosso,19,63,77,192,80,Right,65,DF,14,1100000,2000,225,35,35,69,55,31,228,48,39,35,45,61,288,64,64,50,51,59,265,40,72,58,70,25,218,61,54,23,35,45,193,57,67,69,46,9,9,9,9,10,3,Medium,Medium,1,,7.0,,,,,,,,,,,6.0,,,,BelgianProLeague,54.0
cl CHI,"MF,DF",Kortrijk,21,2002,26,22,"1,926",21.4,0,1,1,0,0,0,6,0,0.0,0.05,0.05,0.0,0.05,,,,,,,,,,,,,1200000.0,Nayel Mehssatou,2012,N. Mehssatou,20,67,76,173,60,Right,67,DF,9,2100000,3000,257,62,38,46,65,46,300,63,52,51,67,67,388,80,70,88,62,88,270,52,52,68,41,57,289,66,63,48,55,57,187,63,62,62,57,10,10,11,14,12,5,Medium,Medium,1,,25.0,,,,,,,,,,,18.0,,,,BelgianProLeague,63.0
nl NED,DF,Club Brugge,20,2003,20,15,"1,344",14.9,1,0,1,1,0,0,0,0,0.07,0.0,0.07,0.07,0.07,,,,,,,,,,,,,6000000.0,Bjorn Meijer,1375,B. Meijer,20,73,83,190,74,Left,74,DF,10,6500000,12000,306,74,58,73,67,34,340,67,68,66,69,70,326,64,75,65,65,57,395,79,84,80,87,65,304,65,72,64,65,38,207,72,67,68,58,13,9,12,10,14,3,High,Medium,1,,13.0,,,,,,,,,,,15.0,,,,BelgianProLeague,72.0
sn SEN,DF,Anderlecht,21,2002,11,6,646,7.2,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,,,,,,,,,,,,,500000.0,Moussa N'Diaye,1992,M. N'Diaye,21,67,75,181,70,Left,67,DF,8,2200000,6000,241,61,26,67,66,21,271,72,37,29,63,70,363,73,78,79,62,71,249,32,71,65,57,24,251,70,60,38,51,32,192,60,67,65,37,10,5,8,8,6,3,Medium,Medium,1,,14.0,,,,,,,,,,,11.0,,,,BelgianProLeague,60.0
